job_id,num_resume,predict_id,ndcg@1,ndcg@3,ndcg@5,ndcg@7,ndcg@10,ndcg@20,ndcg@50
4878,897,6,0,0,0,0.3562071871080222,0.3562071871080222,0.3562071871080222,0.3562071871080222
4879,897,436,0,0,0,0,0,0,0
4880,897,118,0,0,0,0,0,0,0
4881,897,39,0,0,0,0,0,0,0.18790182470910757
4882,897,90,0,0,0,0,0,0,0
4883,897,222,0,0,0,0,0,0,0
4884,897,127,0,0,0,0,0,0,0
4885,897,8,0,0,0,0,0.31546487678572877,0.31546487678572877,0.31546487678572877
4886,897,73,0,0,0,0,0,0,0
4887,897,5,0,0,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163
4888,897,285,0,0,0,0,0,0,0
4889,897,2,0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
4890,897,152,0,0,0,0,0,0,0
4891,897,302,0,0,0,0,0,0,0
4892,897,235,0,0,0,0,0,0,0
4893,897,72,0,0,0,0,0,0,0
4895,897,351,0,0,0,0,0,0,0
4896,897,612,0,0,0,0,0,0,0
4897,897,139,0,0,0,0,0,0,0
4898,897,122,0,0,0,0,0,0,0
4899,897,218,0,0,0,0,0,0,0
4901,897,78,0,0,0,0,0,0,0
4902,897,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4904,897,132,0,0,0,0,0,0,0
4905,897,132,0,0,0,0,0,0,0
4906,897,85,0,0,0,0,0,0,0
4908,897,203,0,0,0,0,0,0,0
4909,897,125,0,0,0,0,0,0,0
4910,897,475,0,0,0,0,0,0,0
4911,897,15,0,0,0,0,0,0.25,0.25
4912,897,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4913,897,11,0,0,0,0,0,0.27894294565112987,0.27894294565112987
4914,897,570,0,0,0,0,0,0,0
4915,897,16,0,0,0,0,0,0.24465054211822604,0.24465054211822604
4916,897,259,0,0,0,0,0,0,0
4917,897,199,0,0,0,0,0,0,0
4918,897,10,0,0,0,0,0.2890648263178879,0.2890648263178879,0.2890648263178879
4919,897,82,0,0,0,0,0,0,0
4920,897,178,0,0,0,0,0,0,0
4922,897,346,0,0,0,0,0,0,0
4924,897,67,0,0,0,0,0,0,0
4925,897,374,0,0,0,0,0,0,0
4926,897,602,0,0,0,0,0,0,0
4929,897,35,0,0,0,0,0,0,0.19342640361727081
4930,897,671,0,0,0,0,0,0,0
4931,897,18,0,0,0,0,0,0.23540891336663824,0.23540891336663824
4932,897,46,0,0,0,0,0,0,0.18003132665669264
4933,897,15,0,0,0,0,0,0.25,0.25
4934,897,629,0,0,0,0,0,0,0
4935,897,147,0,0,0,0,0,0,0
4937,897,516,0,0,0,0,0,0,0
4938,897,12,0,0,0,0,0,0.27023815442731974,0.27023815442731974
4939,897,523,0,0,0,0,0,0,0
4940,897,90,0,0,0,0,0,0,0
4941,897,83,0,0,0,0,0,0,0
4942,897,113,0,0,0,0,0,0,0
4943,897,53,0,0,0,0,0,0,0
4944,897,309,0,0,0,0,0,0,0
4945,897,703,0,0,0,0,0,0,0
4946,897,39,0,0,0,0,0,0,0.18790182470910757
4947,897,349,0,0,0,0,0,0,0
4948,897,56,0,0,0,0,0,0,0
4949,897,704,0,0,0,0,0,0,0
4950,897,220,0,0,0,0,0,0,0
4951,897,416,0,0,0,0,0,0,0
4952,897,627,0,0,0,0,0,0,0
4953,897,370,0,0,0,0,0,0,0
4954,897,585,0,0,0,0,0,0,0
4955,897,267,0,0,0,0,0,0,0
4956,897,22,0,0,0,0,0,0,0.22106472945750374
4957,897,20,0,0,0,0,0,0.227670248696953,0.227670248696953
4958,897,21,0,0,0,0,0,0,0.22424382421757544
4959,897,103,0,0,0,0,0,0,0
4960,897,328,0,0,0,0,0,0,0
4961,897,131,0,0,0,0,0,0,0
4962,897,79,0,0,0,0,0,0,0
4964,897,97,0,0,0,0,0,0,0
4965,897,528,0,0,0,0,0,0,0
4966,897,205,0,0,0,0,0,0,0
4967,897,215,0,0,0,0,0,0,0
4968,897,196,0,0,0,0,0,0,0
4969,897,5,0,0,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163
4970,897,545,0,0,0,0,0,0,0
4971,897,22,0,0,0,0,0,0,0.22106472945750374
4972,897,265,0,0,0,0,0,0,0
4973,897,147,0,0,0,0,0,0,0
4974,896,697,0,0,0,0,0,0,0
4975,897,337,0,0,0,0,0,0,0
4976,897,154,0,0,0,0,0,0,0
